"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 24, 2019","2,880.71","2,860.53","2,880.71","2,858.64","-","0.50%"
"Jul 23, 2019","2,866.40","2,855.30","2,866.63","2,850.32","-","0.68%"
"Jul 22, 2019","2,847.10","2,843.63","2,852.18","2,839.53","-","0.29%"
"Jul 19, 2019","2,838.94","2,864.27","2,867.00","2,838.85","-","-0.62%"
"Jul 18, 2019","2,856.73","2,839.59","2,859.65","2,835.93","-","0.36%"
"Jul 17, 2019","2,846.43","2,863.17","2,864.98","2,846.39","-","-0.61%"
"Jul 16, 2019","2,863.90","2,873.05","2,874.34","2,861.36","-","-0.36%"
"Jul 15, 2019","2,874.15","2,877.32","2,877.32","2,868.75","-","0.03%"
"Jul 12, 2019","2,873.35","2,864.08","2,873.42","2,861.87","-","0.47%"
"Jul 11, 2019","2,859.78","2,857.76","2,861.60","2,849.12","-","0.22%"
"Jul 10, 2019","2,853.43","2,850.51","2,862.47","2,845.37","-","0.44%"
"Jul 09, 2019","2,840.84","2,826.76","2,842.81","2,825.38","-","0.17%"
"Jul 08, 2019","2,835.94","2,840.28","2,840.76","2,830.70","-","-0.51%"
"Jul 05, 2019","2,850.48","2,844.94","2,853.58","2,829.17","-","-0.17%"
"Jul 03, 2019","2,855.23","2,838.52","2,855.23","2,838.52","-","0.78%"
"Jul 02, 2019","2,833.05","2,824.94","2,833.16","2,817.61","-","0.29%"
"Jul 01, 2019","2,824.99","2,831.34","2,838.23","2,813.83","-","0.77%"
"Jun 28, 2019","2,803.32","2,791.96","2,804.53","2,791.11","-","0.59%"
"Jun 27, 2019","2,786.98","2,782.45","2,790.73","2,780.92","-","0.41%"
"Jun 26, 2019","2,775.56","2,787.61","2,794.01","2,774.99","-","-0.12%"
"Jun 25, 2019","2,778.96","2,805.35","2,805.77","2,777.95","-","-0.97%"
"Jun 24, 2019","2,806.05","2,813.90","2,815.57","2,805.04","-","-0.22%"
"Jun 21, 2019","2,812.11","2,813.86","2,824.63","2,808.82","-","-0.16%"
"Jun 20, 2019","2,816.55","2,810.67","2,820.09","2,795.61","-","0.93%"
"Jun 19, 2019","2,790.48","2,785.04","2,795.14","2,778.54","-","0.32%"
"Jun 18, 2019","2,781.49","2,769.60","2,793.67","2,769.60","-","0.98%"
"Jun 17, 2019","2,754.41","2,754.53","2,761.44","2,752.23","-","0.11%"
"Jun 14, 2019","2,751.34","2,752.04","2,758.22","2,744.55","-","-0.19%"
"Jun 13, 2019","2,756.53","2,751.35","2,759.46","2,747.53","-","0.41%"
"Jun 12, 2019","2,745.23","2,748.29","2,753.10","2,740.47","-","-0.19%"
"Jun 11, 2019","2,750.57","2,767.23","2,774.45","2,743.79","-","-0.06%"
"Jun 10, 2019","2,752.11","2,751.14","2,769.51","2,750.92","-","0.50%"
"Jun 07, 2019","2,738.40","2,714.87","2,749.00","2,714.87","-","1.05%"
"Jun 06, 2019","2,709.88","2,695.23","2,717.87","2,690.09","-","0.60%"
"Jun 05, 2019","2,693.60","2,678.89","2,694.41","2,669.24","-","0.82%"
"Jun 04, 2019","2,671.61","2,626.69","2,672.61","2,626.69","-","2.16%"
"Jun 03, 2019","2,615.02","2,623.58","2,632.78","2,600.43","-","-0.31%"
"May 31, 2019","2,623.15","2,649.29","2,649.29","2,620.99","-","-1.28%"
"May 30, 2019","2,657.25","2,654.59","2,666.93","2,645.88","-","0.21%"
"May 29, 2019","2,651.77","2,666.07","2,666.07","2,635.80","-","-0.70%"
"May 28, 2019","2,670.40","2,696.63","2,706.43","2,670.04","-","-0.82%"
"May 24, 2019","2,692.60","2,699.51","2,706.93","2,687.04","-","0.15%"
"May 23, 2019","2,688.64","2,703.05","2,703.05","2,673.24","-","-1.23%"
"May 22, 2019","2,722.04","2,722.97","2,728.42","2,717.35","-","-0.29%"
"May 21, 2019","2,730.08","2,719.86","2,734.21","2,719.86","-","0.87%"
"May 20, 2019","2,706.41","2,707.84","2,718.96","2,698.07","-","-0.69%"
"May 17, 2019","2,725.15","2,726.91","2,749.74","2,722.28","-","-0.61%"
"May 16, 2019","2,741.85","2,722.10","2,756.54","2,722.10","-","0.90%"
"May 15, 2019","2,717.46","2,690.50","2,724.54","2,683.46","-","0.60%"
"May 14, 2019","2,701.32","2,685.70","2,717.94","2,685.70","-","0.85%"
"May 13, 2019","2,678.63","2,710.18","2,710.18","2,669.17","-","-2.46%"
"May 10, 2019","2,746.24","2,728.63","2,755.23","2,693.84","-","0.37%"
"May 09, 2019","2,736.12","2,725.03","2,740.60","2,703.44","-","-0.30%"
"May 08, 2019","2,744.31","2,745.12","2,760.95","2,738.87","-","-0.15%"
"May 07, 2019","2,748.46","2,777.33","2,777.35","2,728.51","-","-1.67%"
"May 06, 2019","2,795.12","2,772.79","2,799.45","2,767.84","-","-0.43%"
"May 03, 2019","2,807.30","2,791.74","2,808.90","2,791.74","-","0.99%"
"May 02, 2019","2,779.87","2,784.81","2,793.10","2,763.30","-","-0.21%"
"May 01, 2019","2,785.82","2,812.14","2,814.42","2,785.62","-","-0.74%"
"Apr 30, 2019","2,806.70","2,797.68","2,808.65","2,786.36","-","0.09%"
"Apr 29, 2019","2,804.30","2,801.06","2,810.47","2,800.90","-","0.11%"
"Apr 26, 2019","2,801.30","2,787.69","2,801.30","2,780.41","-","0.47%"
